from	to
ny00061	ny00062
ny00061	ny00064
ny00061	ny00063
ny00062	ny00060
ny00062	ny00061
ny00062	ny00036
ny00062	ny000119
ny00062	ny00065
ny00062	ny000120
ny00063	ny00064
ny00063	ny000121
ny00063	ny000119
ny00063	ny00065
ny00063	ny000122
ny00064	ny00063
ny00064	ny000121
ny00064	ny000119
ny00064	ny00065
ny00065	ny000123
ny00065	ny000124
ny00065	ny000125
ny00065	ny000126
ny00066	ny000127
ny00066	ny00059
ny00066	ny00055
ny00066	ny000111
ny00066	ny000112
ny00066	ny000113
ny00067	ny000128
ny00067	ny000129
ny00067	ny000130
ny00067	ny000131
ny00067	ny000132
ny00067	ny000133
ny00067	ny00077
ny00012	ny00038
ny00013	ny00074
ny00013	ny00039
ny00013	ny00040
ny00068	ny000134
ny00068	ny000135
ny00068	ny000136
ny00069	ny00094
ny00070	ny000137
ny00070	ny000138
ny00070	ny000139
ny00043	ny00016
ny00016	ny00079
ny00016	ny00044
ny00017	ny00080
ny00017	ny0006
ny00017	ny00045
ny00071	ny000140
ny00071	ny000141
ny00071	ny000142
